time,site,infector
1,"SÃO PAULO",NA
5,"CAMPINAS","SÃO PAULO"
5,"CAMPO GRANDE","SÃO PAULO"
5,"GOIANIA","SÃO PAULO"
5,"JUIZ DE FORA","SÃO PAULO"
5,"LONDRINA","SÃO PAULO"
5,"MARINGÁ","SÃO PAULO"
5,"Niterói","SÃO PAULO"
5,"Pouso Alegre","SÃO PAULO"
5,"BELO HORIZONTE","SÃO PAULO"
5,"CURITIBA","SÃO PAULO"
5,"RIO DE JANEIRO","SÃO PAULO"
6,"Araguari","SÃO PAULO"
6,"BARRA MANSA","SÃO PAULO"
6,"BLUMENAU","SÃO PAULO"
6,"CAMPINA GRANDE","SÃO PAULO"
6,"CRICIÚMA","SÃO PAULO"
6,"CUIABÁ","SÃO PAULO"
6,"FLORIANÓPOLIS","SÃO PAULO"
6,"Garanhuns","SÃO PAULO"
6,"GOVERNADOR VALADARES","SÃO PAULO"
6,"ITABUNA","SÃO PAULO"
6,"JOINVILLE","SÃO PAULO"
6,"JUAZEIRO DO NORTE","SÃO PAULO"
6,"MACEIÓ","SÃO PAULO"
6,"NATAL","SÃO PAULO"
6,"PASSO FUNDO","SÃO PAULO"
6,"PONTA GROSSA","SÃO PAULO"
6,"Resende","SÃO PAULO"
6,"Teixeira de Freitas","SÃO PAULO"
6,"Teófilo Otoni","SÃO PAULO"
6,"TERESINA","SÃO PAULO"
6,"UBERABA","SÃO PAULO"
6,"UBERLÂNDIA","SÃO PAULO"
6,"VITÓRIA","SÃO PAULO"
6,"VITÓRIA DA CONQUISTA","SÃO PAULO"
6,"Volta Redonda","SÃO PAULO"
6,"FORTALEZA","SÃO PAULO"
6,"PORTO ALEGRE","SÃO PAULO"
6,"RECIFE","SÃO PAULO"
6,"SALVADOR","SÃO PAULO"
6,"BRASÍLIA","SÃO PAULO"
6,"Varginha","SÃO PAULO"
6,"Mogi Guaçu","SÃO PAULO"
7,"ANÁPOLIS","SÃO PAULO"
7,"ARACAJU","SÃO PAULO"
7,"ARAÇATUBA","SÃO PAULO"
7,"Barbacena","SÃO PAULO"
7,"Bragança Paulista","SÃO PAULO"
7,"Cachoeiro de Itapemirim","SÃO PAULO"
7,"CARUARU","SÃO PAULO"
7,"CASCAVEL","SÃO PAULO"
7,"Chapecó","SÃO PAULO"
7,"Colatina","SÃO PAULO"
7,"Crato","SÃO PAULO"
7,"FOZ DO IGUAÇU","SÃO PAULO"
7,"ITAJAÍ","SÃO PAULO"
7,"JOÃO PESSOA","SÃO PAULO"
7,"Juazeiro","SÃO PAULO"
7,"LAGES","SÃO PAULO"
7,"Mossoró","SÃO PAULO"
7,"PALMAS","SÃO PAULO"
7,"PARNAÍBA","SÃO PAULO"
7,"Patos de Minas","SÃO PAULO"
7,"Petrolina","SÃO PAULO"
7,"PORTO VELHO","SÃO PAULO"
7,"Rondonópolis","SÃO PAULO"
7,"SÃO JOSÉ DOS CAMPOS","SÃO PAULO"
7,"SÃO LUÍS","SÃO PAULO"
7,"BELÉM","SÃO PAULO"
7,"Cabo Frio","SÃO PAULO"
7,"RIO BRANCO","SÃO PAULO"
9,"PRESIDENTE PRUDENTE","CURITIBA"
9,"SÃO JOSÉ DO RIO PRETO","RIO DE JANEIRO"
9,"FRANCA","BELO HORIZONTE"
