round,geocode,name,infection_time,degree,seed,seedname
0,520110805,"ANÁPOLIS",7,21,355030800,"SÃO PAULO"
0,280030805,"ARACAJU",7,30,355030800,"SÃO PAULO"
0,350280405,"ARAÇATUBA",7,16,355030800,"SÃO PAULO"
0,310350405,"Araguari",6,10,355030800,"SÃO PAULO"
0,310560805,"Barbacena",7,14,355030800,"SÃO PAULO"
0,330040705,"BARRA MANSA",6,22,355030800,"SÃO PAULO"
0,350550005,"Barretos",False,17,355030800,"SÃO PAULO"
0,420240405,"BLUMENAU",6,8,355030800,"SÃO PAULO"
0,350760505,"Bragança Paulista",7,4,355030800,"SÃO PAULO"
0,320120905,"Cachoeiro de Itapemirim",7,10,355030800,"SÃO PAULO"
0,250400905,"CAMPINA GRANDE",6,19,355030800,"SÃO PAULO"
0,350950205,"CAMPINAS",5,38,355030800,"SÃO PAULO"
0,500270405,"CAMPO GRANDE",5,31,355030800,"SÃO PAULO"
0,260410605,"CARUARU",7,15,355030800,"SÃO PAULO"
0,410480805,"CASCAVEL",7,33,355030800,"SÃO PAULO"
0,420420205,"Chapecó",7,14,355030800,"SÃO PAULO"
0,320150605,"Colatina",7,10,355030800,"SÃO PAULO"
0,230420205,"Crato",7,12,355030800,"SÃO PAULO"
0,420460805,"CRICIÚMA",6,11,355030800,"SÃO PAULO"
0,510340305,"CUIABÁ",6,28,355030800,"SÃO PAULO"
0,420540705,"FLORIANÓPOLIS",6,22,355030800,"SÃO PAULO"
0,410830405,"FOZ DO IGUAÇU",7,36,355030800,"SÃO PAULO"
0,260600205,"Garanhuns",6,12,355030800,"SÃO PAULO"
0,520870705,"GOIANIA",5,42,355030800,"SÃO PAULO"
0,312770105,"GOVERNADOR VALADARES",6,36,355030800,"SÃO PAULO"
0,291480205,"ITABUNA",6,17,355030800,"SÃO PAULO"
0,420820305,"ITAJAÍ",7,10,355030800,"SÃO PAULO"
0,250750705,"JOÃO PESSOA",7,21,355030800,"SÃO PAULO"
0,420910205,"JOINVILLE",6,19,355030800,"SÃO PAULO"
0,291840705,"Juazeiro",7,9,355030800,"SÃO PAULO"
0,230730405,"JUAZEIRO DO NORTE",6,17,355030800,"SÃO PAULO"
0,313670205,"JUIZ DE FORA",5,31,355030800,"SÃO PAULO"
0,420930005,"LAGES",7,7,355030800,"SÃO PAULO"
0,411370005,"LONDRINA",5,29,355030800,"SÃO PAULO"
0,270430205,"MACEIÓ",6,34,355030800,"SÃO PAULO"
0,411520005,"MARINGÁ",5,29,355030800,"SÃO PAULO"
0,240800305,"Mossoró",7,17,355030800,"SÃO PAULO"
0,240810205,"NATAL",6,22,355030800,"SÃO PAULO"
0,330330205,"Niterói",5,13,355030800,"SÃO PAULO"
0,172100005,"PALMAS",7,26,355030800,"SÃO PAULO"
0,220770205,"PARNAÍBA",7,9,355030800,"SÃO PAULO"
0,431410005,"PASSO FUNDO",6,16,355030800,"SÃO PAULO"
0,314800405,"Patos de Minas",7,12,355030800,"SÃO PAULO"
0,261110105,"Petrolina",7,16,355030800,"SÃO PAULO"
